iter	RMSE
0	2.420726688
1	2.38585219
2	2.356270047
3	2.334287465
4	2.316024432
5	2.30038942
6	2.288998818
7	2.276780206
8	2.267118821
9	2.259016562
10	2.250117047
11	2.244288565
12	2.238464952
13	2.233722771
14	2.229476052
15	2.224520129
16	2.220911286
17	2.217903951
18	2.215983631
19	2.213272371
20	2.211271458
21	2.208310069
22	2.206079028
23	2.203818377
24	2.201940219
25	2.199952651
26	2.198153995
27	2.196247906
28	2.195150833
29	2.193557905
30	2.192097482
31	2.190752403
32	2.189600769
33	2.188416884
34	2.187218378
35	2.185994531
36	2.184740623
37	2.183371067
38	2.182521115
39	2.181770878
40	2.180755639
41	2.179490647
42	2.178556177
43	2.177441071
44	2.176209699
45	2.17516323
46	2.174042585
47	2.173072412
48	2.171885208
49	2.170872283
50	2.170177382
51	2.168925423
52	2.167901794
53	2.167063781
54	2.166148343
55	2.165570051
56	2.164487839
57	2.1636944
58	2.162971505
59	2.162134524
60	2.161557171
61	2.160731024
62	2.160085956
63	2.159214527
64	2.158465737
65	2.157487262
66	2.129553607
67	2.126371267
68	2.125338019
69	2.124707795
70	2.123922708
71	2.123154034
72	2.109729902
73	2.1073764
74	2.106184157
75	2.105142362
76	2.104080657
77	2.103252783
78	2.095970479
79	2.094884497
80	2.094020188
81	2.092964767
82	2.092218798
83	2.071556909
84	2.070683346
85	2.06967804
86	2.068680254
87	2.067719353
88	2.066474768
89	2.065217207
90	2.059507803
91	2.058493348
92	2.057175588
93	2.055757974
94	2.054452458
95	2.053215837
96	2.05147615
97	2.050187661
98	2.049408727
99	2.048975231
100	2.04788173
101	2.02962575
102	2.01220702
103	2.010803116
104	2.009437933
105	2.008107093
106	1.995092746
107	1.993765193
108	1.992467114
109	1.97987287
110	1.969390294
111	1.96844984
112	1.967264144
113	1.965928611
114	1.956445355
115	1.955451262
116	1.954059117
117	1.952891488
118	1.95138149
119	1.942065504
120	1.940512422
121	1.939433909
122	1.938129251
123	1.936731946
124	1.935549184
125	1.93456175
126	1.93362535
127	1.932424068
128	1.931093654
129	1.929988787
130	1.92841687
131	1.927330707
132	1.926459867
133	1.925316307
134	1.924510959
135	1.923443648
136	1.922569059
137	1.917172577
138	1.91646766
139	1.915200818
140	1.913776842
141	1.912953553
142	1.912425185
143	1.911282521
144	1.91048072
145	1.909437113
146	1.908270307
147	1.906857651
148	1.896298616
149	1.895192733
150	1.894352719
151	1.893428205
152	1.892136626
153	1.891147492
154	1.890488984
155	1.889562645
156	1.888180253
157	1.886984055
158	1.886286522
159	1.879058327
160	1.878058458
161	1.876930872
162	1.871443175
163	1.870325457
164	1.863762911
165	1.862789379
166	1.861831137
167	1.860682363
168	1.85965431
169	1.858626548
170	1.858030288
171	1.856916501
172	1.855875415
173	1.854558365
174	1.853305286
175	1.852417171
176	1.851084289
177	1.850177807
178	1.849574602
179	1.848423162
180	1.847301701
181	1.846043633
182	1.84502774
183	1.844089086
184	1.842918235
185	1.839357427
186	1.838332974
187	1.837142134
188	1.836236284
189	1.835312198
190	1.834607874
191	1.833422682
192	1.832730425
193	1.832075809
194	1.83099689
195	1.83014139
196	1.829224148
197	1.828128454
198	1.827120431
199	1.826225455
200	1.825187467
201	1.824512166
202	1.823593535
203	1.823228754
204	1.822013413
205	1.807633913
206	1.806754438
207	1.805807911
208	1.805389787
209	1.801514234
210	1.80048771
211	1.799695364
212	1.798914881
213	1.797947936
214	1.797200549
215	1.796303307
216	1.795535506
217	1.794625802
218	1.793898159
219	1.792705936
220	1.791699918
221	1.790480659
222	1.789339224
223	1.788522352
224	1.787576104
225	1.786540067
226	1.78546886
227	1.784756436
228	1.784335991
229	1.783121211
230	1.782476425
231	1.781652363
232	1.780671484
233	1.779830786
234	1.77883807
235	1.778347219
236	1.777236336
237	1.776183715
238	1.775373343
239	1.774489843
240	1.773698692
241	1.772631301
242	1.771674266
243	1.770982753
244	1.770353038
245	1.769101429
246	1.768486844
247	1.767321507
248	1.766656779
249	1.765781611
250	1.764758379
251	1.76377673
252	1.762790955
253	1.76226349
254	1.761249191
255	1.760156982
256	1.759230816
257	1.758393825
258	1.757772456
259	1.756624191
260	1.755688386
261	1.754718338
262	1.754104738
263	1.753565585
264	1.752721008
265	1.751900251
266	1.75076674
267	1.749943789
268	1.749241166
269	1.748668347
270	1.747688888
271	1.746851542
272	1.746132275
273	1.745541724
274	1.744722537
275	1.743847511
276	1.74286906
277	1.741826037
278	1.741041792
279	1.740017444
280	1.739320185
281	1.738765435
282	1.738009765
283	1.737287254
284	1.736666648
285	1.735919984
286	1.735315387
287	1.734168499
288	1.733311285
289	1.732199905
290	1.73119786
291	1.73017244
292	1.729153567
293	1.728941471
294	1.728492707
295	1.728161509
296	1.72755948
297	1.726721019
298	1.725743179
299	1.724859867
300	1.724037644
301	1.723333568
302	1.722608913
303	1.721773989
304	1.71483132
305	1.710979886
306	1.710017505
307	1.709234499
308	1.705675583
309	1.70457888
310	1.703855066
311	1.69868813
312	1.697878827
313	1.696965227
314	1.693951373
315	1.692989889
316	1.68985288
317	1.688925092
318	1.688044839
319	1.687401358
320	1.686290399
321	1.685226942
322	1.684340441
323	1.683345394
324	1.682422851
325	1.681452476
326	1.680827403
327	1.67786049
328	1.676775064
329	1.675818652
330	1.675147266
331	1.674342289
332	1.673746048
333	1.672960425
334	1.672451444
335	1.671690672
336	1.671207133
337	1.670353334
338	1.669639394
339	1.668738072
340	1.668108114
341	1.666955502
342	1.665775025
343	1.665294279
344	1.66431832
345	1.663537613
346	1.663161318
347	1.662684699
348	1.662158753
349	1.661310656
350	1.660207248
351	1.659634571
352	1.659356246
353	1.658567686
354	1.658125533
355	1.657272761
356	1.656223828
357	1.65564272
358	1.654739336
359	1.653768737
360	1.652941847
361	1.651928731
362	1.642662551
363	1.641563103
364	1.640630312
365	1.639920524
366	1.639341807
367	1.638650459
368	1.637537951
369	1.636639038
370	1.635934119
371	1.635312728
372	1.634617781
373	1.633757416
374	1.632747135
375	1.631990231
376	1.63119331
377	1.630679284
378	1.62987812
379	1.62938296
380	1.629230926
381	1.628365343
382	1.627775471
383	1.626860527
384	1.625922361
385	1.625105077
386	1.624917687
387	1.6240433
388	1.623382448
389	1.622504274
390	1.621682902
391	1.621040162
392	1.620214331
393	1.61940029
394	1.618905583
395	1.618648398
396	1.617772816
397	1.616990364
398	1.616295631
399	1.616004647
400	1.615090266
401	1.614128905
402	1.613470969
403	1.612726255
404	1.612044304
405	1.611735869
406	1.610930761
407	1.610464055
408	1.609824723
409	1.608859533
410	1.607919486
411	1.60716738
412	1.606157037
413	1.605275971
414	1.604437686
415	1.603677068
416	1.603264859
417	1.602406593
