iter	Passed	Remaining
0	250	124834
1	378	94200
2	503	83455
3	626	77641
4	783	77578
5	919	75708
6	1060	74702
7	1196	73569
8	1338	73014
9	1467	71894
10	1596	70975
11	1745	70974
12	1902	71280
13	2048	71120
14	2189	70793
15	2324	70310
16	2460	69914
17	2598	69576
18	2733	69208
19	2864	68741
20	3005	68563
21	3137	68179
22	3263	67688
23	3387	67189
24	3513	66753
25	3644	66439
26	3770	66055
27	3906	65851
28	4057	65901
29	4185	65576
30	4314	65273
31	4439	64926
32	4575	64750
33	4711	64578
34	4842	64329
35	4990	64316
36	5134	64251
37	5262	63975
38	5392	63737
39	5504	63304
40	5636	63101
41	5762	62837
42	5900	62714
43	6037	62571
44	6178	62468
45	6307	62249
46	6435	62031
47	6578	61945
48	6703	61699
49	6830	61474
50	6958	61262
51	7081	61007
52	7219	60885
53	7340	60630
54	7475	60484
55	7597	60237
56	7717	59979
57	7830	59670
58	7962	59516
59	8087	59308
60	8223	59179
61	8369	59128
62	8508	59022
63	8630	58794
64	8772	58711
65	8906	58569
66	9065	58585
67	9258	58820
68	9377	58573
69	9515	58450
70	9644	58272
71	9751	57969
72	9916	58003
73	10104	58170
74	10341	58599
75	10634	59331
76	10807	59373
77	11005	59544
78	11240	59902
79	11401	59858
80	11530	59644
81	11681	59545
82	11835	59463
83	12019	59526
84	12173	59435
85	12318	59301
86	12457	59138
87	12615	59061
88	12784	59039
89	12953	59009
90	13131	59020
91	13265	58827
92	13397	58632
93	13520	58397
94	13687	58352
95	13809	58113
96	13940	57916
97	14072	57725
98	14231	57646
99	14370	57481
100	14498	57276
101	14664	57220
102	14866	57299
103	15000	57118
104	15137	56944
105	15268	56754
106	15483	56869
107	15623	56707
108	15758	56527
109	15937	56505
110	16111	56463
111	16261	56333
112	16395	56151
113	16531	55974
114	16738	56036
115	16886	55900
116	17026	55736
117	17164	55565
118	17302	55396
119	17497	55409
120	17622	55198
121	17744	54979
122	17858	54736
123	18016	54630
124	18175	54527
125	18317	54371
126	18467	54239
127	18616	54104
128	18757	53945
129	18895	53779
130	19069	53715
131	19201	53530
132	19357	53415
133	19487	53226
134	19617	53040
135	19745	52848
136	19881	52678
137	20073	52657
138	20206	52478
139	20341	52306
140	20484	52155
141	20607	51954
142	20764	51838
143	20910	51696
144	21055	51548
145	21184	51364
146	21329	51219
147	21497	51129
148	21694	51105
149	21827	50930
150	21983	50810
151	22127	50661
152	22322	50626
153	22481	50509
154	22623	50354
155	22758	50186
156	22925	50085
157	23071	49939
158	23213	49784
159	23443	49816
160	23586	49662
161	23729	49509
162	23922	49459
163	24079	49333
164	24281	49299
165	24463	49220
166	24640	49132
167	24795	49000
168	24988	48941
169	25164	48848
170	25311	48697
171	25455	48542
172	25617	48420
173	25773	48288
174	25913	48124
175	26052	47959
176	26190	47793
177	26350	47667
178	26512	47544
179	26674	47420
180	26833	47291
181	26991	47160
182	27134	47003
183	27284	46858
184	27422	46692
185	27645	46670
186	27820	46566
187	27977	46431
188	28133	46293
189	28314	46197
190	28527	46151
191	28726	46081
192	28923	46007
193	29130	45948
194	29290	45813
195	29437	45658
196	29574	45487
197	29701	45302
198	29831	45122
199	29960	44941
200	30110	44791
201	30245	44619
202	30381	44449
203	30503	44260
204	30630	44077
205	30818	43983
206	30954	43815
207	31073	43622
208	31212	43458
209	31390	43349
210	31514	43164
211	31643	42987
212	31785	42828
213	31920	42660
214	32044	42477
215	32170	42298
216	32298	42121
217	32432	41954
218	32559	41777
219	32687	41601
220	32814	41427
221	32952	41264
222	33099	41114
223	33230	40944
224	33371	40786
225	33518	40637
226	33653	40473
227	33786	40307
228	33921	40143
229	34066	39991
230	34203	39830
231	34328	39655
232	34452	39480
233	34580	39309
234	34751	39188
235	34886	39026
236	35026	38868
237	35181	38728
238	35305	38554
239	35430	38383
240	35562	38219
241	35696	38056
242	35831	37896
243	35972	37741
244	36090	37563
245	36218	37396
246	36346	37229
247	36488	37077
248	36627	36921
249	36754	36754
250	36882	36589
251	37014	36427
252	37154	36273
253	37316	36141
254	37448	35979
255	37589	35827
256	37713	35659
257	37847	35500
258	38005	35364
259	38136	35203
260	38272	35046
261	38408	34890
262	38539	34729
263	38674	34572
264	38800	34407
265	38922	34240
266	39059	34085
267	39201	33935
268	39336	33779
269	39492	33641
270	39633	33490
271	39760	33328
272	39897	33174
273	40047	33031
274	40204	32894
275	40340	32739
276	40472	32582
277	40631	32446
278	40771	32295
279	40910	32144
280	41032	31978
281	41187	31840
282	41304	31671
283	41431	31510
284	41561	31353
285	41678	31185
286	41807	31027
287	41945	30876
288	42074	30718
289	42214	30568
290	42384	30441
291	42519	30288
292	42657	30137
293	42791	29982
294	42934	29836
295	43062	29677
296	43210	29534
297	43342	29379
298	43488	29235
299	43614	29076
300	43737	28916
301	43872	28764
302	44010	28614
303	44141	28459
304	44357	28359
305	44517	28223
306	44646	28067
307	44783	27916
308	44955	27787
309	45092	27637
310	45240	27493
311	45423	27370
312	45551	27214
313	45675	27056
314	45828	26915
315	45956	26759
316	46144	26638
317	46280	26487
318	46418	26337
319	46564	26192
320	46710	26047
321	46844	25895
322	47006	25758
323	47145	25610
324	47279	25458
325	47416	25308
326	47567	25165
327	47766	25048
328	47904	24898
329	48076	24766
330	48268	24644
331	48414	24498
332	48572	24359
333	48717	24212
334	48871	24070
335	49016	23924
336	49175	23785
337	49320	23638
338	49478	23498
339	49621	23351
340	49737	23191
341	49943	23073
342	50112	22937
343	50279	22801
344	50433	22658
345	50598	22520
346	50746	22375
347	50929	22245
348	51059	22091
349	51194	21940
350	51332	21790
351	51476	21643
352	51614	21493
353	51754	21344
354	51884	21192
355	52041	21050
356	52181	20901
357	52318	20751
358	52463	20605
359	52623	20464
360	52762	20315
361	52915	20172
362	53107	20043
363	53260	19899
364	53401	19751
365	53553	19607
366	53680	19453
367	53821	19305
368	53977	19162
369	54134	19020
370	54281	18874
371	54417	18724
372	54569	18579
373	54715	18433
374	54862	18287
375	54998	18137
376	55153	17994
377	55338	17860
378	55489	17715
379	55692	17587
380	55846	17442
381	55986	17294
382	56127	17145
383	56283	17002
384	56420	16852
385	56557	16703
386	56701	16556
387	56834	16405
388	56974	16257
389	57114	16109
390	57259	15962
391	57405	15815
392	57548	15668
393	57696	15522
394	57852	15378
395	57989	15229
396	58131	15081
397	58286	14937
398	58417	14787
399	58564	14641
400	58687	14488
401	58829	14341
402	58972	14194
403	59118	14047
404	59256	13899
405	59438	13761
406	59581	13614
407	59737	13470
408	59878	13322
409	60013	13173
410	60148	13024
411	60285	12876
412	60417	12727
413	60552	12578
414	60683	12429
415	60814	12279
416	60971	12135
417	61129	11991
418	61276	11845
419	61415	11698
420	61597	11558
421	61740	11411
422	61895	11266
423	62044	11121
424	62175	10972
425	62314	10824
426	62463	10678
427	62596	10530
428	62735	10382
429	62876	10235
430	63011	10087
431	63151	9940
432	63307	9795
433	63446	9648
434	63595	9502
435	63721	9353
436	63846	9204
437	63976	9056
438	64113	8908
439	64240	8760
440	64399	8615
441	64545	8469
442	64668	8320
443	64814	8174
444	64944	8026
445	65084	7880
446	65230	7734
447	65382	7589
448	65517	7441
449	65653	7294
450	65790	7147
451	65938	7002
452	66070	6854
453	66213	6708
454	66342	6561
455	66478	6414
456	66666	6272
457	66807	6126
458	66960	5981
459	67092	5834
460	67219	5686
461	67370	5541
462	67517	5395
463	67672	5250
464	67820	5104
465	67968	4959
466	68118	4813
467	68268	4667
468	68392	4520
469	68535	4374
470	68661	4227
471	68802	4081
472	68940	3935
473	69094	3790
474	69263	3645
475	69422	3500
476	69565	3354
477	69700	3207
478	69850	3062
479	70021	2917
480	70184	2772
481	70384	2628
482	70590	2484
483	70744	2338
484	70884	2192
485	71034	2046
486	71200	1900
487	71345	1754
488	71478	1607
489	71625	1461
490	71756	1315
491	71953	1169
492	72103	1023
493	72248	877
494	72400	731
495	72575	585
496	72718	438
497	72912	292
498	73046	146
499	73191	0
