,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
0,SL,2025-04-01,79.0,3.12,4.7,"Ohtani, Shohei",660271,519242,single,hit_into_play,,,,,7,Shohei Ohtani singles on a line drive to right fielder Jarred Kelenic.,R,L,L,LAD,ATL,X,9.0,line_drive,0,2,2025,-1.23,-0.5,-0.34,1.84,,,,0,6,Bot,186.56,104.74,,,,,-5.259052224651367,-115.01935458882686,1.4966373132275448,-9.930581840750763,21.283336144528967,-37.13560458936151,3.38,1.62,191.0,86.5,12.0,79.3,2369,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.06,0.666,0.633,0.9,1.0,1.0,0.0,4.0,42,3,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,307,0.064,0.539,69.8,8.2,0.747,-0.539,88.0,-1,-1,0.387,0.387,36,30,36,31,3,2,,,,,4.15,-1.23,-1.23,
1,CH,2025-04-01,84.3,3.22,4.43,"Ohtani, Shohei",660271,519242,,foul,,,,,6,Shohei Ohtani singles on a line drive to right fielder Jarred Kelenic.,R,L,L,LAD,ATL,S,,,0,1,2025,1.21,-0.33,0.37,2.46,,,,0,6,Bot,,,,,,,-9.052956502162422,-122.5186517197497,2.427579766336237,13.897692567075737,22.349302718393627,-36.16568619837628,3.38,1.62,,,,84.7,1624,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.08,,,,,,,,42,2,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,85,0.0,-0.054,80.6,8.3,,0.054,,-1,-1,0.387,0.387,36,30,36,31,3,2,,,,,3.52,1.21,1.21,
2,SI,2025-04-01,93.1,3.16,4.55,"Ohtani, Shohei",660271,519242,,called_strike,,,,,8,Shohei Ohtani singles on a line drive to right fielder Jarred Kelenic.,R,L,L,LAD,ATL,S,,,0,0,2025,1.29,0.19,0.11,1.6,,,,0,6,Bot,,,,,,,-10.729274147932465,-135.31406358503116,-2.253190046524862,18.0906797247033,26.38518546041759,-29.558914339313286,3.38,1.62,,,,94.0,2100,6.7,778487,686948,621566,645277,663586,669397,650559,671739,672284,53.83,,,,,,,,42,1,Sinker,0,1,0,1,1,0,0,1,Infield shade,Standard,109,0.0,-0.037,,,,0.037,,-1,-1,0.387,0.387,36,30,36,31,3,2,,,,,2.42,1.29,1.29,
3,FF,2025-04-01,95.7,3.08,4.81,"Ohtani, Shohei",660271,519242,field_out,hit_into_play,,,,,6,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,X,6.0,ground_ball,3,2,2025,1.08,0.6,0.34,2.79,,,,1,3,Bot,121.61,138.66,,,,,-9.676489229522671,-139.0761636453624,-1.0904637868487046,16.059662116941514,28.882707388398032,-24.283655874304237,3.38,1.62,55.0,103.8,0.0,96.3,2264,6.5,778487,686948,621566,645277,663586,669397,650559,671739,672284,53.96,0.426,0.387,0.0,1.0,0.0,0.0,4.0,21,8,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,114,-0.019,-0.332,72.3,7.2,0.471,0.332,103.8,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,1.88,1.08,1.08,
4,SL,2025-04-01,76.0,3.11,4.71,"Ohtani, Shohei",660271,519242,,foul,,,,,8,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,S,,,3,2,2025,-0.86,-0.46,0.06,1.7,,,,1,3,Bot,,,,,,,-4.845941587893253,-110.57835723985114,1.5970204490190028,-6.178587325530837,19.81215252311743,-36.46933085454484,3.38,1.62,6.0,65.0,-18.0,76.1,2093,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.12,,,,,,,,21,7,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,311,0.0,0.0,72.8,8.8,,0.0,88.0,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,4.41,-0.86,-0.86,
5,CH,2025-04-01,86.3,2.97,4.5,"Ohtani, Shohei",660271,519242,,ball,,,,,13,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,B,,,2,2,2025,1.2,0.02,-2.53,1.12,,,,1,3,Bot,,,,,,,-15.491438045087657,-124.77571055992225,-1.8123288797669528,15.556846765513246,23.544558743851585,-31.8116493497024,3.38,1.62,,,,86.3,1748,6.5,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.0,,,,,,,,21,6,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,93,0.0,0.108,,,,-0.108,,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,3.07,1.2,1.2,
6,SL,2025-04-01,79.1,3.0,4.81,"Ohtani, Shohei",660271,519242,,foul,,,,,12,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,S,,,2,2,2025,-0.79,-0.05,1.19,3.12,,,,1,3,Bot,,,,,,,-2.488194475029452,-115.14884834890798,3.223000870515504,-6.58442655891034,21.194369267691048,-33.4470834358759,3.38,1.62,23.0,84.7,-6.0,79.4,2302,6.5,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.01,,,,,,,,21,5,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,293,0.0,0.0,79.4,7.8,,0.0,88.0,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,3.69,-0.79,-0.79,
7,FF,2025-04-01,95.3,3.0,4.96,"Ohtani, Shohei",660271,519242,,ball,,,,,11,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,B,,,1,2,2025,1.13,0.88,-0.85,3.65,,,,1,3,Bot,,,,,,,-12.663295197843087,-138.32735466216852,0.2006368109099241,17.094785573326746,27.251841782792155,-20.990764311473008,3.38,1.62,,,,96.0,2246,6.6,778487,686948,621566,645277,663586,669397,650559,671739,672284,53.93,,,,,,,,21,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,116,0.0,0.043,,,,-0.043,,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,1.62,1.13,1.13,
8,SL,2025-04-01,79.1,2.94,4.71,"Ohtani, Shohei",660271,519242,,ball,,,,,13,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,B,,,0,2,2025,-0.98,-0.23,-0.81,1.16,,,,1,3,Bot,,,,,,,-6.360772741283195,-115.09968680167104,-0.5051650655080394,-7.482936423666486,21.52755357301788,-34.30226984167602,3.38,1.62,,,,79.3,2380,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.07,,,,,,,,21,3,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,314,0.0,0.02,,,,-0.02,,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,3.87,-0.98,-0.98,
9,SL,2025-04-01,76.9,3.08,4.76,"Ohtani, Shohei",660271,519242,,swinging_strike,,,,,12,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,S,,,0,1,2025,-0.65,-0.28,0.89,2.65,,,,1,3,Bot,,,,,,,-3.471276743397658,-111.8830037549398,2.993298084750493,-4.855170929471527,19.12428100720692,-35.25014577683038,3.38,1.62,,,,77.2,2065,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.11,,,,,,,,21,2,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,305,0.0,-0.057,78.8,8.1,,0.057,,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,4.12,-0.65,-0.65,
