,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
0,FS,2025-03-28,89.6,-1.76,5.3,"Yamamoto, Yoshinobu",679529,808967,strikeout,called_strike,,,,,13,Spencer Torkelson called out on strikes.,R,R,R,LAD,DET,S,2.0,,2,2,2025,-0.53,0.44,-0.85,2.37,,,650402.0,2,5,Top,,,,,,,3.392808927259971,-130.5258504203765,-2.251715672211584,-6.716829707364782,25.116573969868963,-26.84449177632656,3.3,1.63,,,,90.4,1387,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,54.0,,0.0,0.0,1.0,0.0,0.0,,34,5,Split-Finger,0,2,2,0,2,0,2,0,Standard,Strategic,234,0.018,-0.234,,,,0.234,,-2,2,0.259,0.741,26,25,27,26,3,2,10,1.0,,1.0,2.37,0.53,0.53,42.2
1,FF,2025-03-28,94.5,-1.76,5.29,"Yamamoto, Yoshinobu",679529,808967,,called_strike,,,,,3,Spencer Torkelson called out on strikes.,R,R,R,LAD,DET,S,,,2,1,2025,-0.55,1.35,0.58,2.92,,,650402.0,2,5,Top,,,,,,,7.347047005759917,-137.43500968947296,-3.487812964262388,-8.63142877215283,30.781816310021185,-14.531219249745137,3.3,1.6,,,,95.0,2193,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.88,,,,,,,,34,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Strategic,216,0.0,-0.072,,,,0.072,,-2,2,0.259,0.741,26,25,27,26,3,2,10,1.0,,1.0,1.21,0.55,0.55,41.1
2,CU,2025-03-28,76.7,-1.6,5.46,"Yamamoto, Yoshinobu",679529,808967,,called_strike,,,,,1,Spencer Torkelson called out on strikes.,R,R,R,LAD,DET,S,,,2,0,2025,1.01,-1.28,-0.54,3.0,,,650402.0,2,5,Top,,,,,,,0.4284218564293121,-111.53193945095886,4.221070526755858,8.258676906307398,22.289221228833416,-43.822473451795794,3.3,1.64,,,,76.7,2712,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.95,,,,,,,,34,3,Curveball,0,2,2,0,2,0,2,0,Standard,Strategic,36,0.0,-0.048,,,,0.048,,-2,2,0.259,0.741,26,25,27,26,3,2,10,1.0,,1.0,5.19,-1.01,-1.01,51.6
3,FC,2025-03-28,90.5,-1.83,5.25,"Yamamoto, Yoshinobu",679529,808967,,ball,,,,,14,Spencer Torkelson called out on strikes.,R,R,R,LAD,DET,B,,,1,0,2025,0.5,0.71,0.84,1.79,,,650402.0,2,5,Top,,,,,,,5.634651211181542,-131.7422060073181,-4.265002769811222,4.603605655380148,27.452985377538667,-23.193359140352023,3.3,1.6,,,,91.0,2456,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,54.0,,,,,,,,34,2,Cutter,0,2,2,0,2,0,2,0,Standard,Strategic,187,0.0,0.05,,,,-0.05,,-2,2,0.259,0.741,26,25,27,26,3,2,10,1.0,,1.0,2.07,-0.5,-0.5,38.0
4,CU,2025-03-28,76.4,-1.48,5.56,"Yamamoto, Yoshinobu",679529,808967,,ball,,,,,1,Spencer Torkelson called out on strikes.,R,R,R,LAD,DET,B,,,0,0,2025,1.12,-1.32,-0.75,3.42,,,650402.0,2,5,Top,,,,,,,-0.4926759477593172,-110.9165782844404,5.091447186335115,9.204851994808118,23.324795785259848,-44.28637207231496,3.3,1.6,,,,76.0,2750,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.95,,,,,,,,34,1,Curveball,0,2,2,0,2,0,2,0,Standard,Strategic,35,0.0,0.034,,,,-0.034,,-2,2,0.259,0.741,26,25,27,26,3,2,10,1.0,,1.0,5.31,-1.12,-1.12,50.7
5,FS,2025-03-28,90.5,-1.85,5.38,"Yamamoto, Yoshinobu",682985,808967,strikeout,swinging_strike,,,,,13,Riley Greene strikes out swinging.,R,L,R,LAD,DET,S,2.0,,2,2,2025,-1.19,0.02,-0.46,1.33,,,650402.0,1,5,Top,,,,,,,6.038346415665098,-131.68494994509882,-4.215746662670105,-15.122936240922993,28.03704057071094,-31.245305986644752,3.42,1.64,,,,90.8,1429,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,54.01,,0.0,0.0,1.0,0.0,0.0,,33,5,Split-Finger,0,2,2,0,2,0,2,0,Infield shade,Standard,238,0.021,-0.229,74.6,7.9,,0.229,,-2,2,0.238,0.762,26,24,27,25,3,2,10,1.0,,1.0,2.76,1.19,-1.19,41.9
6,FC,2025-03-28,90.7,-1.9,5.29,"Yamamoto, Yoshinobu",682985,808967,,foul,,,,,14,Riley Greene strikes out swinging.,R,L,R,LAD,DET,S,,,2,1,2025,0.22,0.65,0.67,1.48,,,650402.0,1,5,Top,,,,,,,5.993781625273987,-132.0961410330529,-5.102239805350529,1.46691655550666,25.044930390809927,-23.664559743044855,3.42,1.64,,,,91.7,2442,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.89,,,,,,,,33,4,Cutter,0,2,2,0,2,0,2,0,Infield shade,Standard,183,0.0,-0.057,81.2,6.6,,0.057,,-2,2,0.238,0.762,26,24,27,25,3,2,10,1.0,,1.0,2.09,-0.22,0.22,43.8
7,FS,2025-03-28,90.1,-1.91,5.37,"Yamamoto, Yoshinobu",682985,808967,,blocked_ball,,,,,13,Riley Greene strikes out swinging.,R,L,R,LAD,DET,B,,,1,1,2025,-1.5,0.05,-1.14,0.51,,,650402.0,1,5,Top,,,,,,,5.115451514873791,-131.05927083012108,-6.237395188484763,-18.375490835414737,28.490769326649865,-30.451346128470785,3.25,1.64,,,,90.5,1722,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.86,,,,,,,,33,3,Split-Finger,0,2,2,0,2,0,2,0,Infield shade,Standard,233,0.0,0.046,,,,-0.046,,-2,2,0.238,0.762,26,24,27,25,3,2,10,1.0,,1.0,2.77,1.5,-1.5,45.3
8,FF,2025-03-28,94.1,-1.83,5.35,"Yamamoto, Yoshinobu",682985,808967,,called_strike,,,,,7,Riley Greene strikes out swinging.,R,L,R,LAD,DET,S,,,1,0,2025,-0.56,1.48,-0.46,1.93,,,650402.0,1,5,Top,,,,,,,4.8463578784221735,-136.83617395191828,-6.478850569549458,-8.121119461374104,30.413107939135408,-12.318387809188469,3.25,1.63,,,,94.6,2187,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.88,,,,,,,,33,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,215,0.0,-0.047,,,,0.047,,-2,2,0.238,0.762,26,24,27,25,3,2,10,1.0,,1.0,1.1,0.56,-0.56,42.9
9,FF,2025-03-28,93.6,-1.93,5.3,"Yamamoto, Yoshinobu",682985,808967,,ball,,,,,13,Riley Greene strikes out swinging.,R,L,R,LAD,DET,B,,,0,0,2025,-0.57,1.33,-0.36,1.46,,,650402.0,1,5,Top,,,,,,,5.356387344408093,-136.11150984718068,-7.154680566929463,-8.289653443293565,29.20185337548391,-14.207790175058252,3.25,1.77,,,,94.3,2343,6.7,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.84,,,,,,,,33,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,215,0.0,0.036,,,,-0.036,,-2,2,0.238,0.762,26,24,27,25,3,2,10,1.0,,1.0,1.27,0.57,-0.57,42.9
